epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42391,1.0757,2.6632,1.55082,0.90489,1,0.995,0.77218,0.76523,6.68781,1.36008,0.00012,0.00012,0.00012
2,3.97792,1.00495,1.69514,1.50471,0.89794,1,0.97682,0.78318,0.75125,5.4081,1.34562,0.00025142,0.00025142,0.00025142
3,5.46796,1.00957,1.43684,1.41193,0.89366,1,0.97682,0.73331,1.03752,3.58834,1.60713,0.0003736,0.0003736,0.0003736
4,6.78747,1.1829,1.53535,1.6358,0.90823,1,0.995,0.74872,0.89943,2.4952,1.56299,0.00048654,0.00048654,0.00048654
5,8.1009,0.94499,1.05845,1.33332,0.76477,1,0.97833,0.59893,1.30294,3.89679,2.09635,0.00059024,0.00059024,0.00059024
6,9.43949,1.00241,0.97675,1.37058,0.97163,0.9,0.97833,0.67646,0.94956,2.21862,1.52592,0.0006847,0.0006847,0.0006847
7,10.7699,1.06786,1.19223,1.39882,0.92596,0.9,0.98591,0.72579,1.01212,1.79188,1.56237,0.00076992,0.00076992,0.00076992
8,12.0904,0.93017,0.93312,1.37772,0.7551,1,0.95374,0.68401,1.16678,1.93011,2.14615,0.0008459,0.0008459,0.0008459
9,13.4415,0.88544,0.92024,1.34834,0.83915,0.7,0.82089,0.54282,1.23974,1.63927,2.04261,0.00091264,0.00091264,0.00091264
10,14.7526,0.97492,0.90252,1.31991,0.66088,0.97571,0.845,0.59553,1.23282,1.23628,1.84104,0.00097014,0.00097014,0.00097014
11,16.1156,1.07079,0.97043,1.4343,0.99275,1,0.995,0.64326,1.20577,1.29024,2.00241,0.0010184,0.0010184,0.0010184
12,17.4313,0.9265,0.7959,1.27024,0.90727,0.97993,0.97682,0.64039,1.16096,1.24455,2.40794,0.00105742,0.00105742,0.00105742
13,18.6752,0.91688,0.79499,1.37663,0.41929,1,0.91423,0.67261,1.02544,3.23965,2.12308,0.0010872,0.0010872,0.0010872
14,19.9518,1.05288,0.87284,1.43029,0.41929,1,0.91423,0.67261,1.02544,3.23965,2.12308,0.00110774,0.00110774,0.00110774
15,21.2916,1.07599,1.20223,1.47246,0.97219,0.9,0.98591,0.67703,1.15361,1.93936,2.22559,0.001076,0.001076,0.001076
16,22.5897,0.98246,0.79993,1.374,0.98447,0.9,0.98591,0.65888,1.23446,1.37686,2.52782,0.00101,0.00101,0.00101
17,23.8295,1.05356,0.94686,1.52058,0.76446,1,0.93556,0.66646,0.87945,1.40993,1.80507,0.000944,0.000944,0.000944
18,25.2223,1.08276,0.79039,1.43377,0.88765,0.9,0.92833,0.66643,0.90999,0.92123,1.87112,0.000878,0.000878,0.000878
19,26.5398,0.99326,0.77767,1.34198,0.99732,1,0.995,0.71657,0.93182,0.86006,1.80004,0.000812,0.000812,0.000812
20,27.7824,1.00232,0.76843,1.30781,0.99394,1,0.995,0.83018,0.69293,0.73624,1.32881,0.000746,0.000746,0.000746
21,29.2133,0.96638,0.91558,1.42397,0.98366,1,0.995,0.84362,0.7262,0.76904,1.35774,0.00068,0.00068,0.00068
22,30.5047,0.84984,0.7265,1.31583,0.98366,1,0.995,0.84362,0.7262,0.76904,1.35774,0.000614,0.000614,0.000614
23,31.7735,0.72547,0.68422,1.25818,0.90659,0.97249,0.94955,0.65195,0.9111,1.11072,1.84123,0.000548,0.000548,0.000548
24,33.1217,0.66393,0.62749,1.21943,0.89929,1,0.97682,0.69446,0.90301,0.78931,1.68049,0.000482,0.000482,0.000482
25,34.4637,0.76658,0.65511,1.36116,0.89722,1,0.98591,0.7862,0.77616,0.74552,1.41172,0.000416,0.000416,0.000416
26,35.7975,0.70753,0.57953,1.24423,0.99486,1,0.995,0.81739,0.66336,0.65056,1.20705,0.00035,0.00035,0.00035
27,37.0634,0.63661,0.53065,1.18899,0.99455,1,0.995,0.89265,0.57455,0.53574,1.09694,0.000284,0.000284,0.000284
28,38.3877,0.69903,0.57408,1.22228,0.99389,1,0.995,0.89507,0.55003,0.50945,1.06012,0.000218,0.000218,0.000218
29,39.7116,0.58978,0.48337,1.13041,0.9947,1,0.995,0.89709,0.55235,0.49001,1.04606,0.000152,0.000152,0.000152
30,41.0034,0.65057,0.53071,1.30484,0.9947,1,0.995,0.89709,0.55235,0.49001,1.04606,8.6e-05,8.6e-05,8.6e-05
